name	path	emotion
h06 (1)	/data/aesdd/Acted Emotional Speech Dynamic Database/happiness/h06 (1).wav	happiness
a07 (1)	/data/aesdd/Acted Emotional Speech Dynamic Database/anger/a07 (1).wav	anger
d03 (4)	/data/aesdd/Acted Emotional Speech Dynamic Database/disgust/d03 (4).wav	disgust
s08 (2)	/data/aesdd/Acted Emotional Speech Dynamic Database/sadness/s08 (2).wav	sadness
s15 (3)	/data/aesdd/Acted Emotional Speech Dynamic Database/sadness/s15 (3).wav	sadness
s02 (1)	/data/aesdd/Acted Emotional Speech Dynamic Database/sadness/s02 (1).wav	sadness
f17 (1)	/data/aesdd/Acted Emotional Speech Dynamic Database/fear/f17 (1).wav	fear
f12 (01)	/data/aesdd/Acted Emotional Speech Dynamic Database/fear/f12 (01).wav	fear
d17 (5)	/data/aesdd/Acted Emotional Speech Dynamic Database/disgust/d17 (5).wav	disgust
h14 (4)	/data/aesdd/Acted Emotional Speech Dynamic Database/happiness/h14 (4).wav	happiness
d12 (4)	/data/aesdd/Acted Emotional Speech Dynamic Database/disgust/d12 (4).wav	disgust
a15 (1)	/data/aesdd/Acted Emotional Speech Dynamic Database/anger/a15 (1).wav	anger
d17 (4)	/data/aesdd/Acted Emotional Speech Dynamic Database/disgust/d17 (4).wav	disgust
s07 (1)	/data/aesdd/Acted Emotional Speech Dynamic Database/sadness/s07 (1).wav	sadness
a06 (6)	/data/aesdd/Acted Emotional Speech Dynamic Database/anger/a06 (6).wav	anger
f20 (6)	/data/aesdd/Acted Emotional Speech Dynamic Database/fear/f20 (6).wav	fear
h07 (5)	/data/aesdd/Acted Emotional Speech Dynamic Database/happiness/h07 (5).wav	happiness
s02 (3)	/data/aesdd/Acted Emotional Speech Dynamic Database/sadness/s02 (3).wav	sadness
h04 (2)	/data/aesdd/Acted Emotional Speech Dynamic Database/happiness/h04 (2).wav	happiness
s04 (2)	/data/aesdd/Acted Emotional Speech Dynamic Database/sadness/s04 (2).wav	sadness
h18 (5)	/data/aesdd/Acted Emotional Speech Dynamic Database/happiness/h18 (5).wav	happiness
s05 (3)	/data/aesdd/Acted Emotional Speech Dynamic Database/sadness/s05 (3).wav	sadness
f19 (6)	/data/aesdd/Acted Emotional Speech Dynamic Database/fear/f19 (6).wav	fear
d04 (4)	/data/aesdd/Acted Emotional Speech Dynamic Database/disgust/d04 (4).wav	disgust
a07 (6)	/data/aesdd/Acted Emotional Speech Dynamic Database/anger/a07 (6).wav	anger
s01 (2)	/data/aesdd/Acted Emotional Speech Dynamic Database/sadness/s01 (2).wav	sadness
h15 (6)	/data/aesdd/Acted Emotional Speech Dynamic Database/happiness/h15 (6).wav	happiness
a05 (2)	/data/aesdd/Acted Emotional Speech Dynamic Database/anger/a05 (2).wav	anger
h03 (6)	/data/aesdd/Acted Emotional Speech Dynamic Database/happiness/h03 (6).wav	happiness
a08 (5)	/data/aesdd/Acted Emotional Speech Dynamic Database/anger/a08 (5).wav	anger
h01 (1)	/data/aesdd/Acted Emotional Speech Dynamic Database/happiness/h01 (1).wav	happiness
s12 (5)	/data/aesdd/Acted Emotional Speech Dynamic Database/sadness/s12 (5).wav	sadness
a06 (2)	/data/aesdd/Acted Emotional Speech Dynamic Database/anger/a06 (2).wav	anger
h12 (5)	/data/aesdd/Acted Emotional Speech Dynamic Database/happiness/h12 (5).wav	happiness
f12 (2)	/data/aesdd/Acted Emotional Speech Dynamic Database/fear/f12 (2).wav	fear
h13 (3)	/data/aesdd/Acted Emotional Speech Dynamic Database/happiness/h13 (3).wav	happiness
f09 (4)	/data/aesdd/Acted Emotional Speech Dynamic Database/fear/f09 (4).wav	fear
s03 (6)	/data/aesdd/Acted Emotional Speech Dynamic Database/sadness/s03 (6).wav	sadness
a20 (2)	/data/aesdd/Acted Emotional Speech Dynamic Database/anger/a20 (2).wav	anger
a13 (1)	/data/aesdd/Acted Emotional Speech Dynamic Database/anger/a13 (1).wav	anger
f16 (2)	/data/aesdd/Acted Emotional Speech Dynamic Database/fear/f16 (2).wav	fear
a14 (6)	/data/aesdd/Acted Emotional Speech Dynamic Database/anger/a14 (6).wav	anger
h06 (4)	/data/aesdd/Acted Emotional Speech Dynamic Database/happiness/h06 (4).wav	happiness
a05 (6)	/data/aesdd/Acted Emotional Speech Dynamic Database/anger/a05 (6).wav	anger
d01 (5)b	/data/aesdd/Acted Emotional Speech Dynamic Database/disgust/d01 (5)b.wav	disgust
a10 (1)	/data/aesdd/Acted Emotional Speech Dynamic Database/anger/a10 (1).wav	anger
h06 (5)	/data/aesdd/Acted Emotional Speech Dynamic Database/happiness/h06 (5).wav	happiness
d03 (5)	/data/aesdd/Acted Emotional Speech Dynamic Database/disgust/d03 (5).wav	disgust
d12 (2)	/data/aesdd/Acted Emotional Speech Dynamic Database/disgust/d12 (2).wav	disgust
h04 (6)	/data/aesdd/Acted Emotional Speech Dynamic Database/happiness/h04 (6).wav	happiness
d10 (5)	/data/aesdd/Acted Emotional Speech Dynamic Database/disgust/d10 (5).wav	disgust
s12 (6)	/data/aesdd/Acted Emotional Speech Dynamic Database/sadness/s12 (6).wav	sadness
a07 (4)	/data/aesdd/Acted Emotional Speech Dynamic Database/anger/a07 (4).wav	anger
h20 (6)	/data/aesdd/Acted Emotional Speech Dynamic Database/happiness/h20 (6).wav	happiness
s06 (6)	/data/aesdd/Acted Emotional Speech Dynamic Database/sadness/s06 (6).wav	sadness
h08 (6)	/data/aesdd/Acted Emotional Speech Dynamic Database/happiness/h08 (6).wav	happiness
d05 (3)	/data/aesdd/Acted Emotional Speech Dynamic Database/disgust/d05 (3).wav	disgust
f09 (3)	/data/aesdd/Acted Emotional Speech Dynamic Database/fear/f09 (3).wav	fear
s03 (2)	/data/aesdd/Acted Emotional Speech Dynamic Database/sadness/s03 (2).wav	sadness
h19 (1)	/data/aesdd/Acted Emotional Speech Dynamic Database/happiness/h19 (1).wav	happiness
h05 (3)	/data/aesdd/Acted Emotional Speech Dynamic Database/happiness/h05 (3).wav	happiness
f10 (4)	/data/aesdd/Acted Emotional Speech Dynamic Database/fear/f10 (4).wav	fear
d05 (6)	/data/aesdd/Acted Emotional Speech Dynamic Database/disgust/d05 (6).wav	disgust
h13 (5)	/data/aesdd/Acted Emotional Speech Dynamic Database/happiness/h13 (5).wav	happiness
d09 (3)	/data/aesdd/Acted Emotional Speech Dynamic Database/disgust/d09 (3).wav	disgust
s04 (5)b	/data/aesdd/Acted Emotional Speech Dynamic Database/sadness/s04 (5)b.wav	sadness
h11 (1)	/data/aesdd/Acted Emotional Speech Dynamic Database/happiness/h11 (1).wav	happiness
d09 (1)	/data/aesdd/Acted Emotional Speech Dynamic Database/disgust/d09 (1).wav	disgust
d13 (4)	/data/aesdd/Acted Emotional Speech Dynamic Database/disgust/d13 (4).wav	disgust
f13 (01)	/data/aesdd/Acted Emotional Speech Dynamic Database/fear/f13 (01).wav	fear
a17 (4)	/data/aesdd/Acted Emotional Speech Dynamic Database/anger/a17 (4).wav	anger
d12 (6)	/data/aesdd/Acted Emotional Speech Dynamic Database/disgust/d12 (6).wav	disgust
s01 (3)	/data/aesdd/Acted Emotional Speech Dynamic Database/sadness/s01 (3).wav	sadness
a03 (3)	/data/aesdd/Acted Emotional Speech Dynamic Database/anger/a03 (3).wav	anger
a02 (6)	/data/aesdd/Acted Emotional Speech Dynamic Database/anger/a02 (6).wav	anger
a07 (5)	/data/aesdd/Acted Emotional Speech Dynamic Database/anger/a07 (5).wav	anger
a13 (6)	/data/aesdd/Acted Emotional Speech Dynamic Database/anger/a13 (6).wav	anger
d11 (6)	/data/aesdd/Acted Emotional Speech Dynamic Database/disgust/d11 (6).wav	disgust
a11 (2)	/data/aesdd/Acted Emotional Speech Dynamic Database/anger/a11 (2).wav	anger
s18 (3)	/data/aesdd/Acted Emotional Speech Dynamic Database/sadness/s18 (3).wav	sadness
d12 (1)	/data/aesdd/Acted Emotional Speech Dynamic Database/disgust/d12 (1).wav	disgust
a15 (4)	/data/aesdd/Acted Emotional Speech Dynamic Database/anger/a15 (4).wav	anger
a11 (5)	/data/aesdd/Acted Emotional Speech Dynamic Database/anger/a11 (5).wav	anger
f11 (4)	/data/aesdd/Acted Emotional Speech Dynamic Database/fear/f11 (4).wav	fear
h18 (3)	/data/aesdd/Acted Emotional Speech Dynamic Database/happiness/h18 (3).wav	happiness
s11 (5)	/data/aesdd/Acted Emotional Speech Dynamic Database/sadness/s11 (5).wav	sadness
s14 (1)	/data/aesdd/Acted Emotional Speech Dynamic Database/sadness/s14 (1).wav	sadness
s19 (6)	/data/aesdd/Acted Emotional Speech Dynamic Database/sadness/s19 (6).wav	sadness
f20 (5)	/data/aesdd/Acted Emotional Speech Dynamic Database/fear/f20 (5).wav	fear
s10 (5)	/data/aesdd/Acted Emotional Speech Dynamic Database/sadness/s10 (5).wav	sadness
s10 (3)	/data/aesdd/Acted Emotional Speech Dynamic Database/sadness/s10 (3).wav	sadness
h19 (6)	/data/aesdd/Acted Emotional Speech Dynamic Database/happiness/h19 (6).wav	happiness
d07 (2)	/data/aesdd/Acted Emotional Speech Dynamic Database/disgust/d07 (2).wav	disgust
d16 (1)	/data/aesdd/Acted Emotional Speech Dynamic Database/disgust/d16 (1).wav	disgust
d14 (6)	/data/aesdd/Acted Emotional Speech Dynamic Database/disgust/d14 (6).wav	disgust
s18 (1)	/data/aesdd/Acted Emotional Speech Dynamic Database/sadness/s18 (1).wav	sadness
h13 (4)	/data/aesdd/Acted Emotional Speech Dynamic Database/happiness/h13 (4).wav	happiness
h18 (6)	/data/aesdd/Acted Emotional Speech Dynamic Database/happiness/h18 (6).wav	happiness
a18 (4)	/data/aesdd/Acted Emotional Speech Dynamic Database/anger/a18 (4).wav	anger
s15 (2)	/data/aesdd/Acted Emotional Speech Dynamic Database/sadness/s15 (2).wav	sadness
a01 (2)	/data/aesdd/Acted Emotional Speech Dynamic Database/anger/a01 (2).wav	anger
f04 (3)	/data/aesdd/Acted Emotional Speech Dynamic Database/fear/f04 (3).wav	fear
d06 (3)	/data/aesdd/Acted Emotional Speech Dynamic Database/disgust/d06 (3).wav	disgust
s20 (1)	/data/aesdd/Acted Emotional Speech Dynamic Database/sadness/s20 (1).wav	sadness
s10 (4)	/data/aesdd/Acted Emotional Speech Dynamic Database/sadness/s10 (4).wav	sadness
d11 (3)	/data/aesdd/Acted Emotional Speech Dynamic Database/disgust/d11 (3).wav	disgust
h06 (3)	/data/aesdd/Acted Emotional Speech Dynamic Database/happiness/h06 (3).wav	happiness
a13 (5)	/data/aesdd/Acted Emotional Speech Dynamic Database/anger/a13 (5).wav	anger
d02 (2)	/data/aesdd/Acted Emotional Speech Dynamic Database/disgust/d02 (2).wav	disgust
s16 (3)	/data/aesdd/Acted Emotional Speech Dynamic Database/sadness/s16 (3).wav	sadness
a20 (1)	/data/aesdd/Acted Emotional Speech Dynamic Database/anger/a20 (1).wav	anger
f16 (6)	/data/aesdd/Acted Emotional Speech Dynamic Database/fear/f16 (6).wav	fear
a08 (4)	/data/aesdd/Acted Emotional Speech Dynamic Database/anger/a08 (4).wav	anger
d04 (6)	/data/aesdd/Acted Emotional Speech Dynamic Database/disgust/d04 (6).wav	disgust
h08 (5)	/data/aesdd/Acted Emotional Speech Dynamic Database/happiness/h08 (5).wav	happiness
s10 (2)	/data/aesdd/Acted Emotional Speech Dynamic Database/sadness/s10 (2).wav	sadness
s12 (1)	/data/aesdd/Acted Emotional Speech Dynamic Database/sadness/s12 (1).wav	sadness
d11 (5)	/data/aesdd/Acted Emotional Speech Dynamic Database/disgust/d11 (5).wav	disgust
d10 (1)	/data/aesdd/Acted Emotional Speech Dynamic Database/disgust/d10 (1).wav	disgust
f05 (1)	/data/aesdd/Acted Emotional Speech Dynamic Database/fear/f05 (1).wav	fear
s11 (4)	/data/aesdd/Acted Emotional Speech Dynamic Database/sadness/s11 (4).wav	sadness
a14 (2)	/data/aesdd/Acted Emotional Speech Dynamic Database/anger/a14 (2).wav	anger
a03 (5)	/data/aesdd/Acted Emotional Speech Dynamic Database/anger/a03 (5).wav	anger
f01 (2)	/data/aesdd/Acted Emotional Speech Dynamic Database/fear/f01 (2).wav	fear
f05 (6)	/data/aesdd/Acted Emotional Speech Dynamic Database/fear/f05 (6).wav	fear
d02 (5)	/data/aesdd/Acted Emotional Speech Dynamic Database/disgust/d02 (5).wav	disgust
h01 (2)	/data/aesdd/Acted Emotional Speech Dynamic Database/happiness/h01 (2).wav	happiness
a11 (4)	/data/aesdd/Acted Emotional Speech Dynamic Database/anger/a11 (4).wav	anger
a18 (6)	/data/aesdd/Acted Emotional Speech Dynamic Database/anger/a18 (6).wav	anger
d10 (4)	/data/aesdd/Acted Emotional Speech Dynamic Database/disgust/d10 (4).wav	disgust
f11 (3)	/data/aesdd/Acted Emotional Speech Dynamic Database/fear/f11 (3).wav	fear
f13 (3)	/data/aesdd/Acted Emotional Speech Dynamic Database/fear/f13 (3).wav	fear
d20 (4)	/data/aesdd/Acted Emotional Speech Dynamic Database/disgust/d20 (4).wav	disgust
d08 (3)	/data/aesdd/Acted Emotional Speech Dynamic Database/disgust/d08 (3).wav	disgust
h01 (4)	/data/aesdd/Acted Emotional Speech Dynamic Database/happiness/h01 (4).wav	happiness
s14 (2)	/data/aesdd/Acted Emotional Speech Dynamic Database/sadness/s14 (2).wav	sadness
f01 (4)	/data/aesdd/Acted Emotional Speech Dynamic Database/fear/f01 (4).wav	fear
f08 (1)	/data/aesdd/Acted Emotional Speech Dynamic Database/fear/f08 (1).wav	fear
s04 (5)	/data/aesdd/Acted Emotional Speech Dynamic Database/sadness/s04 (5).wav	sadness
s03 (3)	/data/aesdd/Acted Emotional Speech Dynamic Database/sadness/s03 (3).wav	sadness
h10 (3)	/data/aesdd/Acted Emotional Speech Dynamic Database/happiness/h10 (3).wav	happiness
f15 (5)	/data/aesdd/Acted Emotional Speech Dynamic Database/fear/f15 (5).wav	fear
s02 (6)	/data/aesdd/Acted Emotional Speech Dynamic Database/sadness/s02 (6).wav	sadness
f13 (4)	/data/aesdd/Acted Emotional Speech Dynamic Database/fear/f13 (4).wav	fear
f18 (1)	/data/aesdd/Acted Emotional Speech Dynamic Database/fear/f18 (1).wav	fear
a10 (2)	/data/aesdd/Acted Emotional Speech Dynamic Database/anger/a10 (2).wav	anger
h09 (1)	/data/aesdd/Acted Emotional Speech Dynamic Database/happiness/h09 (1).wav	happiness
f04 (4)	/data/aesdd/Acted Emotional Speech Dynamic Database/fear/f04 (4).wav	fear
d20 (3)	/data/aesdd/Acted Emotional Speech Dynamic Database/disgust/d20 (3).wav	disgust
a09 (4)	/data/aesdd/Acted Emotional Speech Dynamic Database/anger/a09 (4).wav	anger
h08 (3)	/data/aesdd/Acted Emotional Speech Dynamic Database/happiness/h08 (3).wav	happiness
d14 (4)	/data/aesdd/Acted Emotional Speech Dynamic Database/disgust/d14 (4).wav	disgust
d10 (3)	/data/aesdd/Acted Emotional Speech Dynamic Database/disgust/d10 (3).wav	disgust
s04 (6)	/data/aesdd/Acted Emotional Speech Dynamic Database/sadness/s04 (6).wav	sadness
s18 (5)	/data/aesdd/Acted Emotional Speech Dynamic Database/sadness/s18 (5).wav	sadness
s06 (1)	/data/aesdd/Acted Emotional Speech Dynamic Database/sadness/s06 (1).wav	sadness
a03 (1)	/data/aesdd/Acted Emotional Speech Dynamic Database/anger/a03 (1).wav	anger
s02 (4)	/data/aesdd/Acted Emotional Speech Dynamic Database/sadness/s02 (4).wav	sadness
s15 (4)	/data/aesdd/Acted Emotional Speech Dynamic Database/sadness/s15 (4).wav	sadness
d09 (2)	/data/aesdd/Acted Emotional Speech Dynamic Database/disgust/d09 (2).wav	disgust
a08 (2)	/data/aesdd/Acted Emotional Speech Dynamic Database/anger/a08 (2).wav	anger
a10 (3)	/data/aesdd/Acted Emotional Speech Dynamic Database/anger/a10 (3).wav	anger
d13 (6)	/data/aesdd/Acted Emotional Speech Dynamic Database/disgust/d13 (6).wav	disgust
h10 (1)	/data/aesdd/Acted Emotional Speech Dynamic Database/happiness/h10 (1).wav	happiness
f08 (6)	/data/aesdd/Acted Emotional Speech Dynamic Database/fear/f08 (6).wav	fear
d14 (5)	/data/aesdd/Acted Emotional Speech Dynamic Database/disgust/d14 (5).wav	disgust
f18 (4)	/data/aesdd/Acted Emotional Speech Dynamic Database/fear/f18 (4).wav	fear
s06 (2)	/data/aesdd/Acted Emotional Speech Dynamic Database/sadness/s06 (2).wav	sadness
f16 (5)	/data/aesdd/Acted Emotional Speech Dynamic Database/fear/f16 (5).wav	fear
d16 (2)	/data/aesdd/Acted Emotional Speech Dynamic Database/disgust/d16 (2).wav	disgust
d20 (6)	/data/aesdd/Acted Emotional Speech Dynamic Database/disgust/d20 (6).wav	disgust
a12 (3)	/data/aesdd/Acted Emotional Speech Dynamic Database/anger/a12 (3).wav	anger
s05 (2)	/data/aesdd/Acted Emotional Speech Dynamic Database/sadness/s05 (2).wav	sadness
h09 (4)	/data/aesdd/Acted Emotional Speech Dynamic Database/happiness/h09 (4).wav	happiness
a20 (3)	/data/aesdd/Acted Emotional Speech Dynamic Database/anger/a20 (3).wav	anger
h01 (6)	/data/aesdd/Acted Emotional Speech Dynamic Database/happiness/h01 (6).wav	happiness
h20 (2)	/data/aesdd/Acted Emotional Speech Dynamic Database/happiness/h20 (2).wav	happiness
a19 (2)	/data/aesdd/Acted Emotional Speech Dynamic Database/anger/a19 (2).wav	anger
f04 (6)	/data/aesdd/Acted Emotional Speech Dynamic Database/fear/f04 (6).wav	fear
d19 (3)	/data/aesdd/Acted Emotional Speech Dynamic Database/disgust/d19 (3).wav	disgust
a15 (5)	/data/aesdd/Acted Emotional Speech Dynamic Database/anger/a15 (5).wav	anger
f09 (5)	/data/aesdd/Acted Emotional Speech Dynamic Database/fear/f09 (5).wav	fear
d03 (2)	/data/aesdd/Acted Emotional Speech Dynamic Database/disgust/d03 (2).wav	disgust
d08 (1)	/data/aesdd/Acted Emotional Speech Dynamic Database/disgust/d08 (1).wav	disgust
a19 (1)	/data/aesdd/Acted Emotional Speech Dynamic Database/anger/a19 (1).wav	anger
s20 (5)	/data/aesdd/Acted Emotional Speech Dynamic Database/sadness/s20 (5).wav	sadness
f17 (6)	/data/aesdd/Acted Emotional Speech Dynamic Database/fear/f17 (6).wav	fear
d19 (4)	/data/aesdd/Acted Emotional Speech Dynamic Database/disgust/d19 (4).wav	disgust
s12 (4)	/data/aesdd/Acted Emotional Speech Dynamic Database/sadness/s12 (4).wav	sadness
a05 (1)	/data/aesdd/Acted Emotional Speech Dynamic Database/anger/a05 (1).wav	anger
f05 (2)	/data/aesdd/Acted Emotional Speech Dynamic Database/fear/f05 (2).wav	fear
h13 (2)	/data/aesdd/Acted Emotional Speech Dynamic Database/happiness/h13 (2).wav	happiness
s14 (3)	/data/aesdd/Acted Emotional Speech Dynamic Database/sadness/s14 (3).wav	sadness
a12 (5)	/data/aesdd/Acted Emotional Speech Dynamic Database/anger/a12 (5).wav	anger
f16 (1)	/data/aesdd/Acted Emotional Speech Dynamic Database/fear/f16 (1).wav	fear
s12 (3)	/data/aesdd/Acted Emotional Speech Dynamic Database/sadness/s12 (3).wav	sadness
f20 (3)	/data/aesdd/Acted Emotional Speech Dynamic Database/fear/f20 (3).wav	fear
s09 (6)	/data/aesdd/Acted Emotional Speech Dynamic Database/sadness/s09 (6).wav	sadness
a08 (1)	/data/aesdd/Acted Emotional Speech Dynamic Database/anger/a08 (1).wav	anger
f10 (6)	/data/aesdd/Acted Emotional Speech Dynamic Database/fear/f10 (6).wav	fear
a16 (6)	/data/aesdd/Acted Emotional Speech Dynamic Database/anger/a16 (6).wav	anger
d16 (4)	/data/aesdd/Acted Emotional Speech Dynamic Database/disgust/d16 (4).wav	disgust
h05 (4)	/data/aesdd/Acted Emotional Speech Dynamic Database/happiness/h05 (4).wav	happiness
d15 (3)	/data/aesdd/Acted Emotional Speech Dynamic Database/disgust/d15 (3).wav	disgust
h07 (6)	/data/aesdd/Acted Emotional Speech Dynamic Database/happiness/h07 (6).wav	happiness
a20 (6)	/data/aesdd/Acted Emotional Speech Dynamic Database/anger/a20 (6).wav	anger
d03 (01)	/data/aesdd/Acted Emotional Speech Dynamic Database/disgust/d03 (01).wav	disgust
f10 (3)	/data/aesdd/Acted Emotional Speech Dynamic Database/fear/f10 (3).wav	fear
h09 (3)	/data/aesdd/Acted Emotional Speech Dynamic Database/happiness/h09 (3).wav	happiness
d07 (4)	/data/aesdd/Acted Emotional Speech Dynamic Database/disgust/d07 (4).wav	disgust
s18 (4)	/data/aesdd/Acted Emotional Speech Dynamic Database/sadness/s18 (4).wav	sadness
d06 (1)	/data/aesdd/Acted Emotional Speech Dynamic Database/disgust/d06 (1).wav	disgust
h04 (1)	/data/aesdd/Acted Emotional Speech Dynamic Database/happiness/h04 (1).wav	happiness
h02 (6)	/data/aesdd/Acted Emotional Speech Dynamic Database/happiness/h02 (6).wav	happiness
h15 (4)	/data/aesdd/Acted Emotional Speech Dynamic Database/happiness/h15 (4).wav	happiness
h12 (3)	/data/aesdd/Acted Emotional Speech Dynamic Database/happiness/h12 (3).wav	happiness
d04 (5)b	/data/aesdd/Acted Emotional Speech Dynamic Database/disgust/d04 (5)b.wav	disgust
a15 (3)	/data/aesdd/Acted Emotional Speech Dynamic Database/anger/a15 (3).wav	anger
f07 (2)	/data/aesdd/Acted Emotional Speech Dynamic Database/fear/f07 (2).wav	fear
h04 (3)	/data/aesdd/Acted Emotional Speech Dynamic Database/happiness/h04 (3).wav	happiness
f03 (3)	/data/aesdd/Acted Emotional Speech Dynamic Database/fear/f03 (3).wav	fear
f14 (5)	/data/aesdd/Acted Emotional Speech Dynamic Database/fear/f14 (5).wav	fear
d12 (5)	/data/aesdd/Acted Emotional Speech Dynamic Database/disgust/d12 (5).wav	disgust
s11 (1)	/data/aesdd/Acted Emotional Speech Dynamic Database/sadness/s11 (1).wav	sadness
f13 (2)	/data/aesdd/Acted Emotional Speech Dynamic Database/fear/f13 (2).wav	fear
s05 (4)	/data/aesdd/Acted Emotional Speech Dynamic Database/sadness/s05 (4).wav	sadness
h02 (5)	/data/aesdd/Acted Emotional Speech Dynamic Database/happiness/h02 (5).wav	happiness
h05 (1)	/data/aesdd/Acted Emotional Speech Dynamic Database/happiness/h05 (1).wav	happiness
h01 (5)	/data/aesdd/Acted Emotional Speech Dynamic Database/happiness/h01 (5).wav	happiness
h08 (4)	/data/aesdd/Acted Emotional Speech Dynamic Database/happiness/h08 (4).wav	happiness
d16 (3)	/data/aesdd/Acted Emotional Speech Dynamic Database/disgust/d16 (3).wav	disgust
s05 (1)	/data/aesdd/Acted Emotional Speech Dynamic Database/sadness/s05 (1).wav	sadness
f08 (3)	/data/aesdd/Acted Emotional Speech Dynamic Database/fear/f08 (3).wav	fear
a04 (3)	/data/aesdd/Acted Emotional Speech Dynamic Database/anger/a04 (3).wav	anger
s09 (5)	/data/aesdd/Acted Emotional Speech Dynamic Database/sadness/s09 (5).wav	sadness
d16 (5)	/data/aesdd/Acted Emotional Speech Dynamic Database/disgust/d16 (5).wav	disgust
f08 (5)	/data/aesdd/Acted Emotional Speech Dynamic Database/fear/f08 (5).wav	fear
a04 (4)	/data/aesdd/Acted Emotional Speech Dynamic Database/anger/a04 (4).wav	anger
h10 (6)	/data/aesdd/Acted Emotional Speech Dynamic Database/happiness/h10 (6).wav	happiness
f15 (6)	/data/aesdd/Acted Emotional Speech Dynamic Database/fear/f15 (6).wav	fear
f18 (6)	/data/aesdd/Acted Emotional Speech Dynamic Database/fear/f18 (6).wav	fear
